subid,month,sum_n,sum_prompts,adherence
1033,1,29,30,0.9666666666666667
1033,2,29,30,0.9666666666666667
1033,3,29,30,0.9666666666666667
1033,4,30,30,1
1033,5,30,30,1
1033,6,23,30,0.7666666666666667
1033,7,14,30,0.4666666666666667
1033,8,30,30,1
1033,9,30,30,1
1033,10,30,30,1
1033,11,22,30,0.7333333333333333
1033,12,27,30,0.9
1034,1,29,30,0.9666666666666667
1034,2,25,30,0.8333333333333334
1034,3,24,30,0.8
1034,4,16,30,0.5333333333333333
1034,5,22,30,0.7333333333333333
1034,6,24,30,0.8
1034,7,18,30,0.6
1034,8,15,27,0.5555555555555556
1035,1,30,30,1
1035,2,30,30,1
1035,3,29,30,0.9666666666666667
1035,4,29,30,0.9666666666666667
1035,5,30,30,1
1035,6,28,30,0.9333333333333333
1035,7,30,30,1
1035,8,28,30,0.9333333333333333
1035,9,29,30,0.9666666666666667
1035,10,30,30,1
1035,11,28,30,0.9333333333333333
1035,12,28,30,0.9333333333333333
1036,1,29,30,0.9666666666666667
1036,2,24,30,0.8
1036,3,23,30,0.7666666666666667
1036,4,25,30,0.8333333333333334
1036,5,25,30,0.8333333333333334
1036,6,19,30,0.6333333333333333
1036,7,18,30,0.6
1036,8,14,30,0.4666666666666667
1036,9,16,30,0.5333333333333333
1036,10,13,30,0.43333333333333335
1036,11,19,30,0.6333333333333333
1036,12,14,30,0.4666666666666667
1037,1,22,30,0.7333333333333333
1037,2,26,30,0.8666666666666667
1037,3,19,30,0.6333333333333333
1037,4,16,30,0.5333333333333333
1037,5,16,30,0.5333333333333333
1037,6,28,30,0.9333333333333333
1037,7,19,30,0.6333333333333333
1037,8,25,30,0.8333333333333334
1037,9,17,30,0.5666666666666667
1037,10,24,30,0.8
1037,11,17,30,0.5666666666666667
1037,12,23,30,0.7666666666666667
1038,1,30,30,1
1038,2,30,30,1
1038,3,30,30,1
1038,4,29,30,0.9666666666666667
1038,5,30,30,1
1038,6,28,30,0.9333333333333333
1038,7,28,30,0.9333333333333333
1038,8,29,30,0.9666666666666667
1038,9,29,30,0.9666666666666667
1038,10,30,30,1
1038,11,24,30,0.8
1038,12,27,30,0.9
1039,1,24,30,0.8
1039,2,27,30,0.9
