n,prop,month
324,1,1
307,0.9475308641975309,2
294,0.9074074074074074,3
279,0.8611111111111112,4
266,0.8209876543209876,5
258,0.7962962962962963,6
251,0.7746913580246914,7
239,0.7376543209876543,8
227,0.7006172839506173,9
218,0.6728395061728395,10
207,0.6388888888888888,11
122,0.3765432098765432,12
